claim_id,true_label,paid_amount,rules,graph,anomaly,note_score,referral_score
CLM50146,ring,31527.43,1.0,1.0,0.9368673582701835,1.0,0.9842168395675459
CLM50471,ring,16353.12,1.0,1.0,0.7301561719937291,1.0,0.9325390429984323
CLM50045,ring,14837.95,1.0,1.0,0.6909161162881652,1.0,0.9227290290720414
CLM50661,ring,12956.0,1.0,0.875,0.5961592032541276,1.0,0.8677898008135319
CLM50333,ring,11228.5,0.8181818181818182,1.0,0.5814634303618075,1.0,0.8499113121359064
CLM50759,ring,17938.04,1.0,0.625,0.7423992835236289,1.0,0.8418498208809072
CLM50439,ring,12590.7,1.0,0.875,0.48768515757098213,1.0,0.8406712893927455
CLM50329,ring,11491.1,0.8181818181818182,1.0,0.538656681331363,1.0,0.8392096248782953
CLM50075,ring,10651.15,0.8181818181818182,1.0,0.46841802852592407,1.0,0.8216499616769356
CLM50585,ring,10887.32,0.8181818181818182,0.875,0.5717874284472108,1.0,0.8162423116572572
CLM50273,ring,9394.14,0.8181818181818182,1.0,0.4371095892261282,1.0,0.8138228518519867
CLM50240,ring,14343.03,1.0,0.625,0.60294438505447,1.0,0.8069860962636175
CLM50042,ring,11047.73,0.8181818181818182,1.0,0.3892417472604932,1.0,0.8018558913605779
CLM50609,ring,13864.13,1.0,0.875,0.6640968172192502,0.6666666666666666,0.8014408709714792
CLM50046,ring,7531.95,0.8181818181818182,0.875,0.5065995831689043,1.0,0.7999453503376807
CLM50022,ring,22222.81,1.0,0.75,0.7817348142408614,0.6666666666666666,0.799600370226882
CLM50209,ring,10665.57,0.8181818181818182,1.0,0.3774586888744454,1.0,0.7989101267640659
CLM50791,ring,11948.77,1.0,0.625,0.5537641644443184,1.0,0.7946910411110796
CLM50170,ring,10386.79,0.8181818181818182,0.75,0.5967546051766639,1.0,0.7912341058396206
CLM50649,ring,13802.34,1.0,0.625,0.47240553214047304,1.0,0.7743513830351183
CLM50097,ring,13462.23,1.0,0.75,0.655845118014115,0.6666666666666666,0.7681279461701954
CLM50560,ring,20025.26,1.0,0.625,0.7770496762223342,0.6666666666666666,0.7671790857222501
CLM50147,ring,6198.94,0.8181818181818182,0.875,0.3709486293637376,1.0,0.7660326118863889
CLM50392,ring,6109.07,0.8181818181818182,0.625,0.5566013218981499,1.0,0.7499457850199921
CLM50011,ring,7284.4,0.8181818181818182,0.75,0.3887708569719002,1.0,0.7392381687884296
CLM50553,ring,5824.07,0.8181818181818182,0.75,0.3811473180093519,1.0,0.7373322840477925
CLM50320,ring,5806.55,0.8181818181818182,0.625,0.5039961921069651,1.0,0.7367945025721958
CLM50647,ring,9762.26,0.8181818181818182,0.625,0.4793141019633768,1.0,0.7306239800362988
CLM50239,ring,11544.86,0.8181818181818182,0.875,0.5421169753315985,0.6666666666666666,0.7254913650450209
CLM50257,ring,7927.14,0.8181818181818182,0.625,0.4416156258239527,1.0,0.7211993610014428
CLM50576,ring,8136.75,0.8181818181818182,0.875,0.4911539568737928,0.6666666666666666,0.7127506104305694
CLM50420,ring,11651.85,0.8181818181818182,0.75,0.5964175210902615,0.6666666666666666,0.7078165014846866
CLM50891,ring,10276.96,0.8181818181818182,0.75,0.5687501457773915,0.6666666666666666,0.7008996576564691
CLM50391,ring,15077.18,1.0,0.375,0.6774967644826025,0.6666666666666666,0.6797908577873173
CLM50484,ring,12247.34,1.0,0.625,0.4193604803056767,0.6666666666666666,0.6777567867430858
CLM50196,ring,6916.93,0.8181818181818182,0.625,0.5655779566096281,0.6666666666666666,0.6688566103645283
CLM50761,ring,8963.82,0.8181818181818182,0.625,0.4859553446446214,0.6666666666666666,0.6489509573732766
CLM50327,ring,6649.57,0.8181818181818182,0.375,0.55279473024141,0.6666666666666666,0.6031608037724737
CLM50213,ring,6735.14,0.8181818181818182,0.375,0.5522907117898901,0.6666666666666666,0.6030347991595938
CLM50263,inflated,21352.56,0.5454545454545454,0.14244186046511628,0.6401052154808369,1.0,0.5820004053501246
CLM50064,ring,5115.03,0.8181818181818182,0.375,0.3451026698760569,0.6666666666666666,0.5512377886811355
CLM50623,inflated,20822.46,0.5454545454545454,0.0,0.6276669933725356,1.0,0.5432803847067702
CLM50888,inflated,24725.45,0.2727272727272727,0.0,0.8173279166128912,1.0,0.522513797335041
CLM50186,inflated,13648.46,0.5454545454545454,0.0,0.446872028080601,1.0,0.4980816433837866
CLM50016,inflated,23854.42,0.18181818181818182,0.005813953488372093,0.7659458925824955,1.0,0.48839450697226233
CLM50305,inflated,16271.83,0.5454545454545454,0.01744186046511628,0.3900501233763297,1.0,0.48823663232399783
CLM50872,inflated,15452.35,0.18181818181818182,0.125,0.549309485025618,1.0,0.46403191671094995
CLM50164,inflated,11659.63,0.45454545454545453,0.1308139534883721,0.26396798310299996,1.0,0.46233184778420666
CLM50378,inflated,20919.01,0.18181818181818182,0.0,0.634888795588761,1.0,0.4541767443517357
CLM50390,inflated,1896.27,0.45454545454545453,0.005813953488372093,0.20792417162523835,1.0,0.41707089491476623
